_Comment,_Copyright,_CreationDate,_CreationTime,_SqlServerInstance_Database_AuthenticationMode,_SqlServerInstance_Database_IsCaseSensitive,_SqlServerInstance_Database_Name,_SqlServerInstance_Database_Object_id,_SqlServerInstance_Database_Object_Name,_SqlServerInstance_Database_Object_Type,_SqlServerInstance_Database_Object_UsedBy_Object,_SqlServerInstance_Database_Object_Uses_Object,_SqlServerInstance_Database_Object_Uses_UnresolvedObject,_SqlServerInstance_Database_Username,_SqlServerInstance_Name
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,1,[pc-cas\dev].[AdventureWorks].[dbo].[ufnGetCustomerInformation],Function,,[pc-cas\dev].[AdventureWorks].[SalesLT].[Customer],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,1,[pc-cas\dev].[AdventureWorks].[dbo].[ufnGetCustomerInformation],Function,,[pc-cas\dev].[AdventureWorks].[dbo].[Name],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,1,[pc-cas\dev].[AdventureWorks].[dbo].[ufnGetCustomerInformation],Function,,[pc-cas\dev].[AdventureWorks].[dbo].[dbo],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,2,[pc-cas\dev].[AdventureWorks].[dbo].[ufnGetSalesOrderStatusText],Function,,[pc-cas\dev].[AdventureWorks].[dbo].[dbo],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,3,[pc-cas\dev].[AdventureWorks].[dbo].[ufnGetAllCategories],Function,,[pc-cas\dev].[AdventureWorks].[SalesLT].[ProductCategory],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,3,[pc-cas\dev].[AdventureWorks].[dbo].[ufnGetAllCategories],Function,,[pc-cas\dev].[AdventureWorks].[dbo].[dbo],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,4,[pc-cas\dev].[AdventureWorks].[dbo].[uspPrintError],Stored Procedure,[pc-cas\dev].[AdventureWorks].[dbo].[uspLogError],,,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,4,[pc-cas\dev].[AdventureWorks].[dbo].[uspPrintError],Stored Procedure,[pc-cas\dev].[AdventureWorks].[SalesLT].[iduSalesOrderDetail],,,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,4,[pc-cas\dev].[AdventureWorks].[dbo].[uspPrintError],Stored Procedure,[pc-cas\dev].[AdventureWorks].[SalesLT].[uSalesOrderHeader],,,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",24 June 2020,15:29:56,Windows authentication (integrated security),FALSE,AdventureWorks,4,[pc-cas\dev].[AdventureWorks].[dbo].[uspPrintError],Stored Procedure,,[pc-cas\dev].[AdventureWorks].[dbo].[dbo],,N_A,pc-cas\dev
