_Comment,_Copyright,_CreationDate,_CreationTime,_SqlServerInstance_Database_AuthenticationMode,_SqlServerInstance_Database_IsCaseSensitive,_SqlServerInstance_Database_Name,_SqlServerInstance_Database_Object_#id,_SqlServerInstance_Database_Object_Name,_SqlServerInstance_Database_Object_Type,_SqlServerInstance_Database_Object_UsedBy_Object,_SqlServerInstance_Database_Object_Uses_Object,_SqlServerInstance_Database_Object_Uses_UnresolvedObject,_SqlServerInstance_Database_Username,_SqlServerInstance_Name
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,1,[Website].[CalculateCustomerPrice],Function,[Website].[InsertCustomerOrders],,,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,1,[Website].[CalculateCustomerPrice],Function,,[Sales].[Customers],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,1,[Website].[CalculateCustomerPrice],Function,,[Sales].[SpecialDeals],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,1,[Website].[CalculateCustomerPrice],Function,,[Warehouse].[StockItems],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,1,[Website].[CalculateCustomerPrice],Function,,[Warehouse].[StockItemStockGroups],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,1,[Website].[CalculateCustomerPrice],Function,,[dbo].[Website],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,2,[Application].[DetermineCustomerAccess],Function,,[Application].[Cities],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,2,[Application].[DetermineCustomerAccess],Function,,[Application].[StateProvinces],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,2,[Application].[DetermineCustomerAccess],Function,,[dbo].[Application],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,3,[Sequences].[ReseedSequenceBeyondTableValues],Stored Procedure,[Sequences].[ReseedAllSequences],,,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,3,[Sequences].[ReseedSequenceBeyondTableValues],Stored Procedure,,[dbo].[Sequences],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,4,[Sequences].[ReseedAllSequences],Stored Procedure,,[Sequences].[ReseedSequenceBeyondTableValues],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,4,[Sequences].[ReseedAllSequences],Stored Procedure,,[dbo].[Sequences],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,5,[DataLoadSimulation].[DeactivateTemporalTablesBeforeDataLoad],Stored Procedure,[DataLoadSimulation].[Configuration_ApplyDataLoadSimulationProcedures],,,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,5,[DataLoadSimulation].[DeactivateTemporalTablesBeforeDataLoad],Stored Procedure,,[Application].[Configuration_RemoveRowLevelSecurity],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,5,[DataLoadSimulation].[DeactivateTemporalTablesBeforeDataLoad],Stored Procedure,,[dbo].[DataLoadSimulation],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,6,[DataLoadSimulation].[ReactivateTemporalTablesAfterDataLoad],Stored Procedure,[DataLoadSimulation].[Configuration_ApplyDataLoadSimulationProcedures],,,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,6,[DataLoadSimulation].[ReactivateTemporalTablesAfterDataLoad],Stored Procedure,,[Application].[Configuration_ApplyRowLevelSecurity],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,6,[DataLoadSimulation].[ReactivateTemporalTablesAfterDataLoad],Stored Procedure,,[dbo].[DataLoadSimulation],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,7,[Application].[CreateRoleIfNonexistent],Stored Procedure,,[dbo].[Application],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,8,[Application].[AddRoleMemberIfNonexistent],Stored Procedure,,[dbo].[Application],,N_A,pc-cas\dev
"This report was created using SQL Dependency Tracker
from Red Gate Software Ltd.

Visit www.red-gate.com for more information.","SQL Dependency Tracker, Copyright © 2005-2018 Red Gate Software Ltd",26 June 2020,10:47:05,Windows authentication (integrated security),FALSE,WideWorldImporters,9,[Website].[SearchForPeople],Stored Procedure,,[Application].[People],,N_A,pc-cas\dev
